question_id,question_text,candidate_id,query_text,label,reason
Q6,"Which factories use wafers supplied by supplier S?","Q6-llm-5","MATCH (s:Supplier {name:'S'})<-[:SUPPLIES]-(m:Material)-[:USED_IN]->(ps:ProcessStep)<-[:REQUIRES]-(l:Lot)-[:HAS_DEFECT]->(d:Defect)-[:PRODUCED_FOR]->(p:Product)<-[:PRODUCES]-(f:Fab) RETURN f","INVALID","Introduces defects and unnecessary constraints"

Q7,Which orders include a given product?,Q7_C1,MATCH (o:Order)-[:CONTAINS]->(p:Product {name:'GivenProductName'}) RETURN o.order_id,CORRECT,Direct Order-CONTAINS-Product match with product name filter
Q7,Which orders include a given product?,Q7_C2,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment)<-[:STOCKS]-(p:Product {name:'GivenProductName'}) RETURN o.order_id,INVALID,Uses STOCKS with Shipment; relation endpoints mismatch
Q7,Which orders include a given product?,Q7_C3,MATCH (o:Order)-[:CONTAINS]->(l:Lot)<-[:PRODUCED_FOR]-(p:Product {name:'GivenProductName'}) RETURN o.order_id,INVALID,CONTAINS is only Order->Product; Lot is wrong and PRODUCED_FOR reversed
Q7,Which orders include a given product?,Q7_C4,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment)<-[:STOCKS]-(l:Lot)<-[:PRODUCED_FOR]-(p:Product {name:'GivenProductName'}) RETURN o.order_id,INVALID,Uses STOCKS between Shipment and Lot; schema mismatch
Q7,Which orders include a given product?,Q7_C5,MATCH (o:Order)-[:CONTAINS]->(p:Product {lot_id:'GivenLotId'}) RETURN o.order_id,INVALID,Uses invalid property lot_id on Product
Q8,Which shipments have a specific status?Answer,Q8_C1,MATCH (s:Shipment)-[:HAS_STATUS]->(status:Status {name:'specific_status'}) RETURN s.shipment_id,CORRECT,Direct Shipment-HAS_STATUS match with status filter
Q8,Which shipments have a specific status?Answer,Q8_C2,MATCH (s:Shipment)<-[:DEPENDS_ON]-(o:Order) WHERE EXISTS((s)-[:HAS_STATUS]->(status:Status {name:'specific_status'})) RETURN DISTINCT s.shipment_id,VALID_WRONG,Adds Order dependency constraint not in question
Q8,Which shipments have a specific status?Answer,Q8_C3,"MATCH (p:Product)-[:STOCKS]->(i:Inventory), (s:Shipment)<-[:DEPENDS_ON]-(o:Order {order_id:'placeholder_order_id'}) WHERE EXISTS((s)-[:HAS_STATUS]->(status:Status {name:'specific_status'})) RETURN s.shipment_id",INVALID,Uses STOCKS in wrong direction and unrelated Order filter
Q8,Which shipments have a specific status?Answer,Q8_C4,"MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool), (p:Product)-[:REQUIRES]->(ls:ProcessStep)-[:USED_IN]->(m:Material) WHERE EXISTS((s:Shipment)<-[:DEPENDS_ON]-(o:Order {order_id:'placeholder_order_id'})) AND EXISTS((s)-[:HAS_STATUS]->(status:Status {name:'specific_status'})) RETURN s.shipment_id",INVALID,Adds unrelated Lot/Tool/Product patterns not tied to Shipment
Q8,Which shipments have a specific status?Answer,Q8_C5,"MATCH (c:CapacityConstraint), (f:Fab)-[:PRODUCES]->(p:Product)-[:REQUIRES]->(ps:ProcessStep)-[:USED_IN]->(m:Material) WHERE EXISTS((s:Shipment)<-[:DEPENDS_ON]-(o:Order {order_id:'placeholder_order_id'})) AND EXISTS((s)-[:HAS_STATUS]->(status:Status {name:'specific_status'})) RETURN s.shipment_id",INVALID,Adds unrelated Fab/ProcessStep/Material patterns not tied to Shipment
Q9,Which suppliers provide materials used in orders?,Q9_C1,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:REQUIRES]-(p:Product)<-[:CONTAINS]-(o:Order) RETURN s.name,INVALID,Uses REQUIRES between Product and Material; schema mismatch
Q9,Which suppliers provide materials used in orders?,Q9_C2,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:USED_IN]-(ps:ProcessStep)-[:REQUIRES]-(p:Product)<-[:CONTAINS]-(o:Order) RETURN s.name,VALID_WRONG,Uses USED_IN and REQUIRES in reverse direction
Q9,Which suppliers provide materials used in orders?,Q9_C3,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:HAS_DEFECT]-(l:Lot)-[:PROCESSED_WITH]-(t:Tool)<-[:REQUIRES]-(ps:ProcessStep)-[:REQUIRES]-(p:Product)<-[:CONTAINS]-(o:Order) RETURN s.name,INVALID,Uses HAS_DEFECT and REQUIRES on wrong node types
Q9,Which suppliers provide materials used in orders?,Q9_C4,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:USED_IN]-(ps:ProcessStep)-[:PRODUCES]-(fab:Fab)-[:HAS_CONSTRAINT]-(cc:CapacityConstraint)<-[:STOCKS]-(inv:Inventory)<-[:CONTAINS]-(o:Order) RETURN s.name,INVALID,Uses PRODUCES and HAS_CONSTRAINT on wrong node types
Q9,Which suppliers provide materials used in orders?,Q9_C5,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:REQUIRES]-(p:Product)<-[:PRODUCES]-(fab:Fab)-[:HAS_CONSTRAINT]-(cc:CapacityConstraint)<-[:STOCKS]-(inv:Inventory)<-[:CONTAINS]-(o:Order) RETURN s.name,INVALID,Uses REQUIRES with Material and CONTAINS with Inventory
Q10,Which inventories stock a specific product?,Q10_C1,MATCH (i:Inventory)-[:STOCKS]->(p:Product {name:'Specific Product'}) RETURN i.days_of_supply,VALID_WRONG,"Returns inventory property only, not the inventory"
Q10,Which inventories stock a specific product?,Q10_C2,MATCH (i:Inventory)-[:STOCKS]->(p:Product {name:'Specific Product'}) RETURN i,CORRECT,Direct Inventory-STOCKS-Product match with product filter
Q10,Which inventories stock a specific product?,Q10_C3,MATCH (i:Inventory)-[:STOCKS]->(p:Product {name:'Specific Product'}) RETURN p,VALID_WRONG,Returns Product instead of Inventory
Q10,Which inventories stock a specific product?,Q10_C4,"MATCH (i:Inventory)-[:STOCKS]->(p:Product {name:'Specific Product'}) RETURN i.days_of_supply, p.name",VALID_WRONG,Returns inventory property plus product name; extra output
Q10,Which inventories stock a specific product?,Q10_C5,"MATCH (i:Inventory)-[:STOCKS]->(p:Product {name:'Specific Product'}) RETURN i, p",VALID_WRONG,Returns both Inventory and Product; extra output
Q11,Which suppliers are associated with supply delays?,Q11_C1,MATCH (s:Supplier)-[:AFFECTS]->(y:Yield {name:'Supply Delay'}) RETURN s.name,INVALID,"Yield uses value property, not name"
Q11,Which suppliers are associated with supply delays?,Q11_C2,MATCH (s:Supplier)<-[:SUPPLIES]-(p:Product)-[:HAS_CONSTRAINT]->(cc:CapacityConstraint {constraint_type:'Supply Delay'}) RETURN s.name,INVALID,HAS_CONSTRAINT is only Fab->CapacityConstraint
Q11,Which suppliers are associated with supply delays?,Q11_C3,MATCH (s:Supplier)<-[:DEPENDS_ON]-(sh:Shipment)-[:HAS_STATUS {name:'Supply Delay'}]->() RETURN s.name,INVALID,DEPENDS_ON is only Order->Shipment; wrong endpoints
Q11,Which suppliers are associated with supply delays?,Q11_C4,MATCH (s:Supplier)-[:SUPPLIES]-(l:Lot)-[:PROCESSED_WITH]->(t:Tool)-[:HAS_CONSTRAINT]->(cc:CapacityConstraint {constraint_type:'Supply Delay'}) RETURN s.name,INVALID,SUPPLIES does not link Supplier to Lot
Q11,Which suppliers are associated with supply delays?,Q11_C5,MATCH (s:Supplier)<-[:SUPPLIES]-(p:Product)-[:STOCKS]->(i:Inventory)-[:HAS_CONSTRAINT]->(cc:CapacityConstraint {constraint_type:'Supply Delay'}) RETURN s.name,INVALID,STOCKS direction and HAS_CONSTRAINT endpoints are invalid
Q12,Which shipments affect order fulfillment?,Q12_C1,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment) RETURN s.shipment_id,CORRECT,Direct Order-DEPENDS_ON-Shipment match
Q12,Which shipments affect order fulfillment?,Q12_C2,MATCH (s:Shipment)<-[:DEPENDS_ON]-(o:Order) RETURN s.shipment_id,VALID_WRONG,Same relation but reversed node order (non-canonical)
Q12,Which shipments affect order fulfillment?,Q12_C3,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment {name:'placeholder'}) RETURN s.shipment_id,INVALID,"Shipment has shipment_id, not name"
Q12,Which shipments affect order fulfillment?,Q12_C4,MATCH (s:Shipment)<-[:DEPENDS_ON]-(o:Order {order_id:'placeholder'}) RETURN s.shipment_id,VALID_WRONG,Adds specific Order filter not in question
Q12,Which shipments affect order fulfillment?,Q12_C5,MATCH (o:Order {order_id:'placeholder'})<-[:DEPENDS_ON]-(s:Shipment) RETURN s.shipment_id,VALID_WRONG,Adds specific Order filter and reversed node order
Q13,Which orders are delayed due to shipment issues?,Q13_C1,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment)<-[:HAS_STATUS]-(st:Status {name:'Delayed'}) RETURN o.order_id,VALID_WRONG,HAS_STATUS direction reversed
Q13,Which orders are delayed due to shipment issues?,Q13_C2,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment)-[:HAS_STATUS]->(st:Status {name:'Delayed'}) RETURN o.order_id,CORRECT,Order depends on delayed Shipment with correct HAS_STATUS
Q13,Which orders are delayed due to shipment issues?,Q13_C3,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment) WHERE EXISTS((s)<-[:HAS_STATUS]-(st:Status {name:'Delayed'})) RETURN o.order_id,VALID_WRONG,Uses reversed HAS_STATUS in EXISTS
Q13,Which orders are delayed due to shipment issues?,Q13_C4,MATCH p=(o:Order)-[:DEPENDS_ON*1..2]->(s:Shipment)<-[:HAS_STATUS]-(st:Status {name:'Delayed'}) RETURN DISTINCT o.order_id,VALID_WRONG,Variable-length DEPENDS_ON and reversed HAS_STATUS
Q13,Which orders are delayed due to shipment issues?,Q13_C5,MATCH (o:Order)-[:DEPENDS_ON]->(s:Shipment) WHERE s<-[:HAS_STATUS]-(st:Status {name:'Delayed'}) RETURN o.order_id,VALID_WRONG,Uses reversed HAS_STATUS in WHERE
Q14,Which suppliers provide raw materials?,Q14_C1,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material) RETURN s.name,CORRECT,Direct Supplier-SUPPLIES-Material match
Q14,Which suppliers provide raw materials?,Q14_C2,MATCH (s:Supplier)<-[:SUPPLIES]-(m:Material) RETURN s.name,VALID_WRONG,SUPPLIES direction reversed
Q14,Which suppliers provide raw materials?,Q14_C3,"MATCH (s:Supplier)-[r:SUPPLIES]->(m:Material) RETURN s.name, r",VALID_WRONG,Returns relation variable; extra output
Q14,Which suppliers provide raw materials?,Q14_C4,MATCH (s:Supplier)-[:SUPPLIES {type:'raw'}]->(m:Material) RETURN s.name,VALID_WRONG,Adds relation property filter not specified
Q14,Which suppliers provide raw materials?,Q14_C5,MATCH (s:Supplier)-[:SUPPLIES]->(m:Material {name:'placeholder_material'}) RETURN s.name,VALID_WRONG,Adds specific Material name filter not in question
Q15,Which fabs produce a given product?,Q15_C1,MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'GivenProductName'}) RETURN f.name,CORRECT,Direct Fab-PRODUCES-Product match with product filter
Q15,Which fabs produce a given product?,Q15_C2,"MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'GivenProductName'}) RETURN f.fab_id, f.name",VALID_WRONG,Returns extra Fab attributes
Q15,Which fabs produce a given product?,Q15_C3,"MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'GivenProductName'}) RETURN f.fab_id, f.name, f.capacityConstraint",INVALID,Fab has no capacityConstraint property
Q15,Which fabs produce a given product?,Q15_C4,"MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'GivenProductName'}) RETURN f.fab_id, f.name, p.name",VALID_WRONG,Returns extra Product name
Q15,Which fabs produce a given product?,Q15_C5,MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'GivenProductName'}) RETURN f.capacityConstraint,INVALID,Fab has no capacityConstraint property
Q16,Which fabs have capacity constraints?Answer (placeholder): No results returned by the stub executor.,Q16_C1,MATCH (f:Fab)-[:HAS_CONSTRAINT]->(c:CapacityConstraint) RETURN f.name,CORRECT,Direct Fab-HAS_CONSTRAINT match
Q16,Which fabs have capacity constraints?Answer (placeholder): No results returned by the stub executor.,Q16_C2,MATCH (f:Fab)<-[:HAS_CONSTRAINT]-(c:CapacityConstraint) RETURN f.name,VALID_WRONG,HAS_CONSTRAINT direction reversed
Q16,Which fabs have capacity constraints?Answer (placeholder): No results returned by the stub executor.,Q16_C3,MATCH (f:Fab)-[r:HAS_CONSTRAINT]->()<-[:HAS_CONSTRAINT]-(f2:Fab) WHERE NOT f=f2 RETURN DISTINCT f.name,VALID_WRONG,Finds fabs sharing a constraint; extra constraint
Q16,Which fabs have capacity constraints?Answer (placeholder): No results returned by the stub executor.,Q16_C4,"MATCH (f:Fab)-[:HAS_CONSTRAINT]->(c:CapacityConstraint) WITH f MATCH (f)-[:PRODUCES]->(p:Product) RETURN f.name, p.name",VALID_WRONG,Adds Fab-PRODUCES-Product join not asked
Q16,Which fabs have capacity constraints?Answer (placeholder): No results returned by the stub executor.,Q16_C5,"MATCH (f:Fab)<-[:HAS_CONSTRAINT]-(c:CapacityConstraint) WITH f MATCH (f)-[:PRODUCES]->(p:Product) RETURN f.name, p.name",VALID_WRONG,Adds Fab-PRODUCES-Product join and reversed direction
Q17,Which tools are used to process lots?,Q17_C1,MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool) RETURN t.name,CORRECT,Direct Lot-PROCESSED_WITH-Tool match
Q17,Which tools are used to process lots?,Q17_C2,"MATCH (l:Lot)-[:PROCESSED_WITH {name:'Tool'}]->(p:Product) RETURN DISTINCT p.name, t.name",INVALID,PROCESSED_WITH does not link Lot to Product and t is undefined
Q17,Which tools are used to process lots?,Q17_C3,"MATCH (l:Lot)-[r:PROCESSED_WITH]->(t:Tool) RETURN r.name, t.name",VALID_WRONG,Returns relation property; extra output
Q17,Which tools are used to process lots?,Q17_C4,MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool) WHERE t.tool_id = '12345' RETURN t.name,VALID_WRONG,Adds specific Tool filter not in question
Q17,Which tools are used to process lots?,Q17_C5,"MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool) WITH t MATCH (t)-[r:AFFECTS]->(y:Yield) RETURN t.name, y.value",INVALID,AFFECTS does not link Tool to Yield
Q18,Which lots are associated with defects?,Q18_C1,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) RETURN l.lot_id,CORRECT,Direct Lot-HAS_DEFECT-Defect match
Q18,Which lots are associated with defects?,Q18_C2,MATCH (l:Lot)<-[:HAS_DEFECT]-(d:Defect) RETURN l.lot_id,VALID_WRONG,HAS_DEFECT direction reversed
Q18,Which lots are associated with defects?,Q18_C3,MATCH (l:Lot)-[r:HAS_DEFECT]->() WHERE r.defect_code IS NOT NULL RETURN l.lot_id,VALID_WRONG,Adds relation property filter on HAS_DEFECT
Q18,Which lots are associated with defects?,Q18_C4,MATCH (l:Lot)<-[r:HAS_DEFECT]-() WHERE r.defect_code IS NOT NULL RETURN l.lot_id,VALID_WRONG,Reversed HAS_DEFECT with relation property filter
Q18,Which lots are associated with defects?,Q18_C5,MATCH (l:Lot)-[:HAS_DEFECT {defect_code:'*'}]->() RETURN l.lot_id,VALID_WRONG,Adds relation property filter on HAS_DEFECT
Q19,Which defects are linked to specific lots?,Q19_C1,"MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) RETURN l.lot_id, d.defect_code, d.severity",VALID_WRONG,Returns extra lot_id and severity fields
Q19,Which defects are linked to specific lots?,Q19_C2,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) RETURN DISTINCT d.defect_code,VALID_WRONG,Drops lot context; returns defects only
Q19,Which defects are linked to specific lots?,Q19_C3,"MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) RETURN l.lot_id, d.defect_code",CORRECT,Direct Lot-HAS_DEFECT-Defect match with defect code
Q19,Which defects are linked to specific lots?,Q19_C4,"MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) WHERE d.severity = 'CRITICAL' RETURN l.lot_id, d.defect_code, d.severity",VALID_WRONG,Adds severity filter not in question
Q19,Which defects are linked to specific lots?,Q19_C5,"MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect) WITH l, COLLECT(d) AS defects RETURN l.lot_id, SIZE(defects)",VALID_WRONG,Aggregates defects; not a direct list
Q20,Which tools are associated with defects?,Q20_C1,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect)<-[:USED_IN]-(t:Tool) RETURN DISTINCT t.name,INVALID,USED_IN does not link Tool to Defect
Q20,Which tools are associated with defects?,Q20_C2,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect)<-[:PROCESSED_WITH]-(t:Tool) RETURN DISTINCT t.name,INVALID,PROCESSED_WITH does not link Tool to Defect
Q20,Which tools are associated with defects?,Q20_C3,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect)<-[:USED_IN|PROCESSED_WITH]-(t:Tool) RETURN DISTINCT t.name,INVALID,USED_IN/PROCESSED_WITH do not link Tool to Defect
Q20,Which tools are associated with defects?,Q20_C4,"MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect), (l)-[:PROCESSED_WITH]->(t:Tool) RETURN DISTINCT t.name",CORRECT,Lot with Defect and processed with Tool
Q20,Which tools are associated with defects?,Q20_C5,MATCH (l:Lot)-[:HAS_DEFECT]->(d:Defect)<-[:USED_IN|PROCESSED_WITH]-(t:Tool) WHERE NOT (t)-[]->() RETURN DISTINCT t.name,INVALID,Invalid Tool-Defect relation pattern
Q21,Which products require specific process steps?,Q21_C1,"MATCH (p:Product)-[:REQUIRES]->(ps:ProcessStep) RETURN p.name, ps.name",CORRECT,Direct Product-REQUIRES-ProcessStep match
Q21,Which products require specific process steps?,Q21_C2,"MATCH (p:Product)<-[:REQUIRES]-(ps:ProcessStep) RETURN p.name, ps.name",VALID_WRONG,REQUIRES direction reversed
Q21,Which products require specific process steps?,Q21_C3,"MATCH (ps:ProcessStep)<-[:REQUIRES]-(p:Product) RETURN p.name, ps.name",VALID_WRONG,Non-canonical node order
Q21,Which products require specific process steps?,Q21_C4,"MATCH (p:Product)-[r:REQUIRES]->(ps:ProcessStep) RETURN p.name, ps.name, r",VALID_WRONG,Returns relation variable; extra output
Q21,Which products require specific process steps?,Q21_C5,"MATCH (ps:ProcessStep)<-[r:REQUIRES]-(p:Product) RETURN p.name, ps.name, r",VALID_WRONG,Non-canonical node order with relation variable
Q22,Which materials are used in a process step?,Q22_C1,MATCH (m:Material)-[:USED_IN]->(ps:ProcessStep) RETURN m.name,CORRECT,Direct Material-USED_IN-ProcessStep match
Q22,Which materials are used in a process step?,Q22_C2,MATCH (m:Material)<-[:USED_IN]-(ps:ProcessStep) RETURN m.name,VALID_WRONG,USED_IN direction reversed
Q22,Which materials are used in a process step?,Q22_C3,MATCH p=(m:Material)-[:USED_IN]->(ps:ProcessStep) RETURN m.name,VALID_WRONG,Returns path variable; extra output
Q22,Which materials are used in a process step?,Q22_C4,MATCH (ps:ProcessStep)-[r:USED_IN]->(m:Material) RETURN m.name,VALID_WRONG,USED_IN direction reversed
Q22,Which materials are used in a process step?,Q22_C5,MATCH (ps:ProcessStep)<-[:USED_IN]-(m:Material) RETURN m.name,VALID_WRONG,Non-canonical node order
Q23,Which lots are processed with a specific tool?,Q23_C1,MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool {name:'specific_tool_name'}) RETURN l.lot_id,VALID_WRONG,Uses tool name filter; non-canonical identifier
Q23,Which lots are processed with a specific tool?,Q23_C2,MATCH (l:Lot)-[:PROCESSED_WITH]->(t:Tool {tool_id:'specific_tool_id'}) RETURN l.lot_id,CORRECT,Direct Lot-PROCESSED_WITH-Tool with tool_id filter
