id,question,valid,row_count,needs_manual_review,review_reason,expected_family,expected_answer_shape,error,human_gold_valid,human_notes,semantic_audit_status,semantic_audit_notes
FINALKGQA045,"What kinds of surveys are included across Tier1, OEM, and Semiconductor categories?",True,3,False,,catalog_lookup,raw_or_lookup,,correct,"Correct: returns the three survey classes/types present for Tier1, OEM, and Semiconductor.",correct,"Correct: returns the three survey classes/types present for Tier1, OEM, and Semiconductor."
FINALKGQA046,How does the average demand compare among different survey types when considering all regions?,True,3,False,,regional_demand,average,,correct,"Manual semantic spot check: query returns survey type and average demand across regions, matching the requested comparison among survey types.",correct,"Manual semantic spot check: query returns survey type and average demand across regions, matching the requested comparison among survey types."
FINALKGQA047,What is the combined percentage change in current demand for BL1 and BL2 among Tier1 automotive respondents?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA048,What is the average percentage change in projected demand for each vehicle type by quarter?,True,24,False,,future_demand,average,,,,,
FINALKGQA049,How many vehicle-sales units have been recorded in total?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA050,"How does the average autonomous-driving development for OEMs differ across vehicle types, SAE levels, and years?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA051,What is the total number of OrderCancellation records associated with OEM survey data?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA052,How many OEM companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,,
FINALKGQA053,How many semiconductor inventory trends are tracked for each technology category?,True,9,False,,inventory,count,,,,correct,Returns semiconductor inventory trend counts by technology category and trend; matches the question as a trend distribution per technology category.
FINALKGQA054,Identify the technology category with the highest current demand?,True,1,False,,catalog_lookup,ranking_top,,,,,
FINALKGQA055,Identify the regions where Tier1 current demand reaches its maximum total?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA056,List the percentage changes for Tier1 automotive baselines BL1 and BL2?,True,2,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA057,"What is the total projected demand for Option1, Option2, and Option3 in the Automotive sector for each quarter?",True,8,False,,future_demand,sum,,,,,
FINALKGQA058,What is the number of vehicle sales observations categorized as actual compared to those labeled as forecast?,True,2,False,,vehicle_sales,count,,,,,
FINALKGQA059,"How does the average autonomous-driving development for Tier1 suppliers break down across different vehicle types, SAE levels, and years?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA060,How does the total number of order cancellations vary among different semiconductor technology categories?,True,5,False,,order_cancellation,sum,,,,,
FINALKGQA061,How many Tier1 companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,,
FINALKGQA062,"What is the total inventory for EV, non-EV, and mixed component categories?",True,3,False,,inventory,sum,,,,,
FINALKGQA063,What is the total number of companies listed in the system?,True,1,False,,catalog_lookup,count,,,,correct,Counts companies listed in the system; matches the question.
FINALKGQA064,What is the total percentage change in Tier1 demand across different regions and quarters?,True,35,False,,regional_demand,sum,,,,,
FINALKGQA065,How much does the current demand for Tier1 differ between BL1 and BL2?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA066,What is the total number of FutureDemandAnalysis records associated with OEM surveys?,True,1,False,,future_demand,count,,,,correct,Counts FutureDemandAnalysis records linked to OEM survey origins; matches the requested OEM-associated future-demand record count.
FINALKGQA067,What are the total vehicle sales units reported each month in the actual data?,True,12,False,,vehicle_sales,sum,,,,correct,Returns monthly actual vehicle-sales unit totals; matches the question.
FINALKGQA068,"What is the average percentage of autonomous driving for each vehicle, SAE level, and year, grouped by OEM?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA069,How many semiconductor order cancellation responses are recorded for each technology category and response type?,True,15,False,,order_cancellation,sum,,correct,Correct: sums semiconductor order-cancellation participant counts by technology category and response type.,correct,Correct: sums semiconductor order-cancellation participant counts by technology category and response type.
FINALKGQA070,What is the number of semiconductor companies that have indicated experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA071,"What is the number of inventory records for Tier1 companies that are classified as increase, stable, or decrease?",True,3,False,,inventory,count,,,,correct,Counts Tier1 inventory records by increase/stable/decrease trend; matches the question.
FINALKGQA072,What is the total number of TechnologyCategory entries in the system?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA073,"For each quarter, what is the number of demand records reported in every survey type?",True,21,False,,regional_demand,count,,correct,"Manual semantic spot check: query returns survey type, quarter, and demand-record count, matching the requested count by quarter and survey type. Survey type is returned as URI but the grouping is correct.",correct,"Manual semantic spot check: query returns survey type, quarter, and demand-record count, matching the requested count by quarter and survey type. Survey type is returned as URI but the grouping is correct."
FINALKGQA074,What is the combined percentage change for BL1 and BL2 in Tier1 Automotive current demand according to the survey data?,True,2,False,,current_demand_baselines,sum,,,,,
FINALKGQA075,What are the future-demand percentages for each technology category in every quarter?,True,120,False,,future_demand,raw_or_lookup,,correct,Correct: returns raw future-demand percentage records by technology category and quarter; repeated rows reflect underlying records.,correct,Correct: returns raw future-demand percentage records by technology category and quarter; repeated rows reflect underlying records.
FINALKGQA076,What is the total number of VehicleSalesObservation entries available?,True,1,False,,vehicle_sales,count,,,,,
FINALKGQA077,How does the average autonomous driving development differ across vehicle types and SAE levels among Tier1 suppliers?,True,45,False,,autonomous_driving,average,,,,,
FINALKGQA078,What is the total number of OrderCancellation records associated with Tier1 survey responses?,True,1,False,,order_cancellation,count,,correct,Correct: counts OrderCancellation records linked to Tier1 survey responses; result is 0 against the loaded KG.,correct,Correct: counts OrderCancellation records linked to Tier1 survey responses; result is 0 against the loaded KG.
FINALKGQA079,What is the number of OEM companies that have not indicated experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA080,What is the total number of Tier1 inventory participants for each component?,True,3,False,,inventory,sum,,,,correct,"Semantically valid: question explicitly asks total number of Tier1 inventory participants for each component, and the query sums participantCount per component."
FINALKGQA081,"Which OEMs have experienced a change in current demand percentage for BEV, BEHV, and ICE vehicle types?",True,3,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA082,What is the total number of DemandForRegion records available?,True,1,False,,regional_demand,count,,,,,
FINALKGQA083,Which baseline types are present in the available data?,True,5,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA084,What is the average change in future demand for each technology bucket by quarter?,True,40,False,,future_demand,average,,,,,
FINALKGQA085,"What are the total vehicle sales for each month, both actual and forecasted?",True,48,False,,vehicle_sales,sum,,,,,
FINALKGQA086,What is the total number of distinct SAE levels included?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA087,How many order cancellation responses are recorded for each semiconductor technology category?,True,15,False,,order_cancellation,sum,,correct,Correct after repair: returns one summed order-cancellation response/participant count per semiconductor technology category.,correct,Correct after repair: returns one summed order-cancellation response/participant count per semiconductor technology category.
FINALKGQA088,Which companies indicated experiencing a shortage of semiconductors in their survey responses?,True,6,False,,shortage,raw_or_lookup,,correct,Correct: lists companies reporting shortage and includes their survey type; response-type flag is a false positive from the word responses.,correct,Correct: lists companies reporting shortage and includes their survey type; response-type flag is a false positive from the word responses.
FINALKGQA089,What is the number of Tier1 inventory trends associated with each component?,True,9,False,,inventory,count,,correct,"Manual semantic spot check: query returns Tier1 component, inventory trend, and count, matching the requested count of inventory trends by component.",correct,"Manual semantic spot check: query returns Tier1 component, inventory trend, and count, matching the requested count of inventory trends by component."
FINALKGQA090,What is the total number of companies associated with the Semiconductor survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA091,How much demand is reported in each region according to the OEM survey?,True,5,False,,regional_demand,sum,,,,correct,Returns OEM demand totals by region; matches the question.
FINALKGQA092,"For baselines BL1 and BL2, what is the total count of Tier1 Automotive current-demand entries documented under each?",True,2,False,,current_demand_baselines,count,,,,,
FINALKGQA093,What is the total percentage change in projected demand for each technology category across different quarters?,True,40,False,,future_demand,sum,,,,,
FINALKGQA094,During which month were actual vehicle sales at their peak?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA095,What is the total number of AutonomousDrivingDevelopment records available?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA096,How many OrderCancellation items are connected to the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA097,What is the number of semiconductor companies that have not indicated experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA098,Show the Tier1 inventory trend values broken down by component?,True,18,False,,inventory,raw_or_lookup,,correct,Correct: returns Tier1 inventory trend values with component labels; no aggregation is requested.,correct,Correct: returns Tier1 inventory trend values with component labels; no aggregation is requested.
FINALKGQA099,Which conversion factors correspond to each combination of technology category and vehicle type?,True,15,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA100,What is the number of Tier1 demand records associated with the Americas region?,True,1,False,,regional_demand,count,,,,,
FINALKGQA101,Identify the Tier1 Automotive baseline with the highest average percentage change in current demand?,True,1,False,,current_demand_baselines,ranking_top,,,,,
FINALKGQA102,Identify the vehicle type with the greatest average change in projected demand?,True,1,False,,future_demand,ranking_top,,,,,
FINALKGQA103,What is the total number of vehicles forecasted to be sold each month?,True,36,False,,vehicle_sales,sum,,correct,Correct: returns monthly SUM of forecast vehicle-sales units.,correct,Correct: returns monthly SUM of forecast vehicle-sales units.
FINALKGQA104,What is the vehicle type and SAE level pairing with the largest percentage of autonomous driving?,True,1,False,,autonomous_driving,ranking_top,,,,correct,Returns the vehicle type and SAE-level pairing with the maximum autonomous-driving percentage; top-ranked shape matches the question.
FINALKGQA105,How many OrderCancellation entries are recorded in the system?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA106,"Among all survey types, which one is associated with the highest number of companies indicating a shortage?",True,1,False,,shortage,ranking_top,,,,,
FINALKGQA107,Which component accounts for the greatest number of Tier1 inventory participants?,True,1,False,,inventory,ranking_top,,correct,Correct: sums Tier1 inventory participants by component and returns the top component.,correct,Correct: sums Tier1 inventory participants by component and returns the top component.
FINALKGQA108,"For each Tier1 company, what is the number of active component share categories they possess?",True,3,False,,catalog_lookup,count,,,,,
FINALKGQA109,How do the total and average demand figures appear in the Tier1 survey results?,True,1,False,,regional_demand,average,,,,,
FINALKGQA110,How much do the percentage changes in current demand for BL1 and BL2 add up to for Tier1?,True,2,False,,current_demand_baselines,sum,,,,,
FINALKGQA111,What is the number of FutureDemandAnalysis records associated with Tier1 survey data?,True,1,False,,future_demand,count,,,,,
FINALKGQA112,How do the total sales numbers differ across vehicle types for each year?,True,6,False,,vehicle_sales,sum,,,,,
FINALKGQA113,How do the average autonomous-driving percentages compare among different vehicle types throughout the years?,True,9,False,,autonomous_driving,average,,,,,
FINALKGQA114,Which order cancellation response type accounts for the largest participant total?,True,1,False,,order_cancellation,ranking_top,,correct,Correct: returns the order-cancellation response type with the largest participant total.,correct,Correct: returns the order-cancellation response type with the largest participant total.
FINALKGQA115,How many Tier1 companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,,
FINALKGQA116,"For each component and trend, what is the combined Tier1 inventory response?",True,9,False,,inventory,sum,,,,,
FINALKGQA117,What are the names of all technology categories available?,True,5,False,,catalog_lookup,raw_or_lookup,,correct,"Manual semantic spot check: query returns distinct technology category names, matching the requested catalog lookup.",correct,"Manual semantic spot check: query returns distinct technology category names, matching the requested catalog lookup."
FINALKGQA118,How much semiconductor demand does the Americas region have on average?,True,1,False,,regional_demand,average,,,,,
FINALKGQA119,What is the total difference in Tier1 current demand percentage change from BL1 to BL2?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA120,What is the total number of FutureDemandAnalysis records available?,True,1,False,,future_demand,count,,,,,
FINALKGQA121,What is the combined forecasted vehicle sales unit count from all available records?,True,1,False,,vehicle_sales,sum,,correct,"Manual semantic spot check: query returns one aggregate SUM of forecast vehicle sales units, matching the requested combined forecast sales total.",correct,"Manual semantic spot check: query returns one aggregate SUM of forecast vehicle sales units, matching the requested combined forecast sales total."
FINALKGQA122,Identify the vehicle type with the largest percentage representation at Level 5 autonomy?,True,1,False,,autonomous_driving,ranking_top,,,,,
FINALKGQA123,"For each order-cancellation participant observation, what are the corresponding technology category and response type?",True,15,False,,order_cancellation,raw_or_lookup,,correct,"Correct: returns each order-cancellation observation with technology category, response type, and participant count.",correct,"Correct: returns each order-cancellation observation with technology category, response type, and participant count."
FINALKGQA124,What is the number of Tier1 companies that have indicated experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA125,Which combination of semiconductor technology category and inventory trend is observed with the highest frequency?,True,1,False,,inventory,ranking_top,,,,,
FINALKGQA126,What is the total number of Quarter entities present?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA127,Identify the region with the smallest overall demand according to the Tier1 survey results?,True,1,False,,regional_demand,ranking_top,,,,,
FINALKGQA128,"For Tier1 organizations in Automotive, what is the mean change in current-demand at both BL1 and BL2?",True,2,False,,current_demand_baselines,average,,,,,
FINALKGQA129,What is the total projected Tier1 demand in each region for every upcoming quarter?,True,35,False,,future_demand,sum,,correct,Correct: returns Tier1 projected/future demand by region and quarter using the repaired DemandForRegion path.,correct,Correct: returns Tier1 projected/future demand by region and quarter using the repaired DemandForRegion path.
FINALKGQA130,During which month are forecasted vehicle sales expected to reach their peak?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA131,"Across various vehicle types and SAE levels, what is the mean autonomous driving development level observed?",True,15,False,,autonomous_driving,average,,,,,
FINALKGQA132,How many OrderCancellation records are connected to OEM survey responses?,True,1,False,,order_cancellation,count,,correct,Manual semantic spot check: query returns a count of OEM-linked OrderCancellation records. A zero count is valid for this count question.,correct,Manual semantic spot check: query returns a count of OEM-linked OrderCancellation records. A zero count is valid for this count question.
FINALKGQA133,"How many companies are reported as experiencing shortages in each of the Tier1, OEM, and Semiconductor survey results?",True,6,False,,shortage,count,,,,correct,"Returns shortage yes/no counts for each survey type; matches the requested comparison across Tier1, OEM, and Semiconductor."
FINALKGQA134,What is the number of semiconductor inventory trends associated with each technology category?,True,9,False,,inventory,count,,,,,
FINALKGQA135,Which quarter names are present in the data collection?,True,8,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA136,How much Semiconductor demand is recorded in the Americas region in total?,True,1,False,,regional_demand,sum,,,,,
FINALKGQA137,How much do the percentage changes in current demand for BL1 and BL2 add up to for Tier1 automotive participants?,True,1,False,,current_demand_baselines,sum,,,,,
FINALKGQA138,How many FutureDemandAnalysis items have connections to Semiconductor surveys?,True,1,False,,future_demand,count,,,,,
FINALKGQA139,What vehicle type records the largest total sales over a year?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA140,How does the average percentage of autonomous driving development vary by year?,True,3,False,,autonomous_driving,average,,,,,
FINALKGQA141,Which semiconductor technology categories have experienced the highest overall order cancellations?,True,5,False,,order_cancellation,sum,,,,,
FINALKGQA142,How many semiconductor companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,,
FINALKGQA143,"Could you provide the overall inventory amounts for EV, non-EV, and mixed components?",True,3,False,,inventory,sum,,,,,
FINALKGQA144,What is the total number of companies associated with the OEM survey?,True,1,False,,catalog_lookup,count,,correct,Correct: counts companies associated with the OEM survey.,correct,Correct: counts companies associated with the OEM survey.
FINALKGQA145,Identify the regions where OEM current demand reaches its highest total?,True,5,False,,regional_demand,sum,,,,,
FINALKGQA146,Show the percentage changes associated with Tier1 automotive baselines BL1 and BL2?,True,2,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA147,Show the aggregate future semiconductor demand broken down by technology category and quarter?,True,40,False,,future_demand,sum,,,,,
FINALKGQA148,How many vehicles were sold in total in each month according to actual sales figures?,True,12,False,,vehicle_sales,sum,,,,,
FINALKGQA149,"Across different vehicle types, SAE levels, and years, what is the mean value of autonomous-driving development associated with OEMs?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA150,Show the total number of semiconductor order cancellation responses grouped according to technology category and response type?,True,15,False,,order_cancellation,sum,,correct,Correct: sums semiconductor order-cancellation participant counts by technology category and response type.,correct,Correct: sums semiconductor order-cancellation participant counts by technology category and response type.
FINALKGQA151,"For each survey type, what is the count of companies that have reported a shortage?",True,6,False,,shortage,count,,,,correct,Returns shortage yes/no counts grouped by survey type; matches the requested per-survey-type shortage count.
FINALKGQA152,"How many inventory items among Tier1 companies fall into the categories of increase, stable, or decrease?",True,3,False,,inventory,count,,,,,
FINALKGQA153,"What are the technology categories, including their present demand and the corresponding percentage changes?",True,5,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA154,What is the total percentage change in semiconductor demand across different regions for each quarter?,True,35,False,,regional_demand,sum,,,,,
FINALKGQA155,What is the total difference in current demand between BL1 and BL2 for Tier1?,True,1,False,,current_demand_baselines,sum,,,,correct,Returns Tier1 BL1-BL2 current-demand percentage-change delta; matches the question.
FINALKGQA156,How does the summed future demand percentage from OEM surveys break down across regions and quarters?,True,35,False,,future_demand,sum,,,,,
FINALKGQA157,What is the sum of all actual vehicle-sales units documented?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA158,"For Tier1 suppliers, what is the mean value of autonomous-driving development when grouped by vehicle type, SAE level, and year?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA159,How many OrderCancellation cases have a connection to the Tier1 survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA160,How many Tier1 companies have not reported experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,,
FINALKGQA161,How many Tier1 inventory participants are there in total for each component?,True,3,False,,inventory,sum,,correct,Correct: sums Tier1 inventory participants by component.,correct,Correct: sums Tier1 inventory participants by component.
FINALKGQA162,What are the names of all regions represented in the dataset?,True,5,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA163,"How does the combined demand from Tier1, OEM, and Semiconductor surveys differ between regions?",True,15,False,,regional_demand,sum,,,,,
FINALKGQA164,How much is the total percentage change for BL1 and BL2 in Automotive current demand based on Tier1 survey responses?,True,2,False,,current_demand_baselines,sum,,correct,Correct: returns total BL1 and BL2 percentage change for Tier1 Automotive current demand; response-type flag is a false positive.,correct,Correct: returns total BL1 and BL2 percentage change for Tier1 Automotive current demand; response-type flag is a false positive.
FINALKGQA165,How is the future demand percentage for Semiconductor distributed across different regions and quarters?,True,35,False,,future_demand,sum,,,,correct,Returns Semiconductor future-demand percentage distribution by region and quarter; matches the question.
FINALKGQA166,How does the count of actual vehicle sales observations compare to the count of forecasted ones?,True,2,False,,vehicle_sales,count,,,,correct,Returns actual versus forecast vehicle-sales observation counts; matches the question.
FINALKGQA167,"How does the average autonomous driving percentage differ across vehicles, SAE levels, and years for each OEM?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA168,Provide the sum of order cancellation responses for each semiconductor technology category?,True,15,False,,order_cancellation,sum,,,,,
FINALKGQA169,What is the number of OEM companies that indicated a shortage versus those that did not?,True,2,False,,shortage,count,,correct,"Manual semantic spot check: query returns yes/no shortage status and counts for OEM companies, matching the requested shortage-status breakdown.",correct,"Manual semantic spot check: query returns yes/no shortage status and counts for OEM companies, matching the requested shortage-status breakdown."
FINALKGQA170,"For each component, how many Tier1 inventory trend entries exist?",True,9,False,,inventory,count,,,,,
FINALKGQA171,How many different regions are included in the survey dataset?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA172,Identify the region with the smallest overall demand according to the Semiconductor survey results?,True,1,False,,regional_demand,ranking_top,,,,,
FINALKGQA173,What baseline types can be found in the dataset?,True,5,False,,current_demand_baselines,raw_or_lookup,,,,,
FINALKGQA174,What is the technology category showing the largest average percentage change in expected future demand?,True,1,False,,future_demand,ranking_top,,,,,
FINALKGQA175,How many vehicle sales units were recorded per month in the actual dataset?,True,12,False,,vehicle_sales,sum,,,,correct,Returns monthly sums of actual vehicle-sales units; matches the question.
FINALKGQA176,"For Tier1 suppliers, what is the mean level of autonomous driving development when grouped by both vehicle type and SAE level?",True,45,False,,autonomous_driving,average,,,,,
FINALKGQA177,What is the total count of OrderCancellation instances that pertain to the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA178,How many OEMs have reported facing a shortage of semiconductors?,True,1,False,,shortage,count,,,,,
FINALKGQA179,What are the recorded Tier1 inventory trend figures for each component?,True,18,False,,inventory,raw_or_lookup,,correct,Correct: returns recorded Tier1 inventory trend entries by component as raw observations.,correct,Correct: returns recorded Tier1 inventory trend entries by component as raw observations.
FINALKGQA180,How many companies have a connection to the Tier1 survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA181,Identify the region with the greatest overall demand according to the OEM survey results?,True,1,False,,regional_demand,ranking_top,,,,,
FINALKGQA182,Could you provide the count of Tier1 Automotive current-demand entries linked to each of the baselines BL1 and BL2?,True,2,False,,current_demand_baselines,count,,,,,
FINALKGQA183,How does the average future demand percentage change vary across vehicle types and quarters?,True,24,False,,future_demand,average,,,,,
FINALKGQA184,How many records are there for VehicleSalesObservation?,True,1,False,,vehicle_sales,count,,,,,
FINALKGQA185,How many different SAE levels are present?,True,1,False,,autonomous_driving,count,,,,,
FINALKGQA186,What is the overall count of OrderCancellation instances?,True,1,False,,order_cancellation,count,,,,correct,Counts all OrderCancellation instances; matches the requested overall count.
FINALKGQA187,What is the number of semiconductor companies that indicated a shortage versus those that did not?,True,2,False,,shortage,count,,,,,
