request_id,question,topic,expected_route,system_mode,route,selected_source,estimated_llm_calls,candidate_count,graph_row_count,graph_error,row_preview,answer_text,execution_selection_reason,selected_query,correctness,notes,strict_result_match,source_gold_id,audit_method,human_sparql_difficulty,failure_type,failure_family
FULLKGQA0011,What does Aux Resource mean?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Any secondary or supporting resource that indirectly facilitates or enhances the production, logistics, or overall operations of the semiconductor supply chain. These resources are not directly used to transform materials into finished products but play a critical role in ensuring the smooth functioning, quality, reliability, and efficiency of primary resources and processes. In the Digital Reference ontology, it is a subclass of Semiconductor Production Lobe.",,,correct,Deterministic DR ontology lookup returned a definition-style answer.,,,deterministic_definition_rule,,none,none
FULLKGQA0012,"Based on the survey data, which region should I inspect first for demand?",advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""avgPercentageChange"": ""2386112.016666666666666666666667"", ""regionName"": ""Asia Pacific/China""}, {""avgPercentageChange"": ""1993696.795238095238095238095238"", ""regionName"": ""Americas""}, {""avgPercentageChange"": ""1491199.795238095238095238095238"", ""regionName"": ""Europe""}, {""avgPercentageChange"": ""1092445.9"", ""regionName"": ""Asia Pacific/All Other""}, {""avgPercentageChange"": ""369089.207142857142857142857143"", ""regionName"": ""Japan""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (average future-demand percentage change: 2386112.016666666666666666666667). I selected this advice because the deterministic advisory route computed average future-demand percentage change for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 2386112.016666666666666666666667; Americas: 1993696.795238095238095238095238; Europe: 1491199.795238095238095238095238. The deterministic advisory template used here was designed to identify the region with the strongest future-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemandPercentageChange ?pct . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?avgPercentageChange),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0013,Which Tier1 inventory trend data points are available for each component?,inventory,,direct_graph_supported,auto_answer,capability_inventory,0,1,9,,"[{""component"": ""Component_EV"", ""participantTotal"": ""1"", ""trend"": ""Decrease""}, {""component"": ""Component_EV"", ""participantTotal"": ""1"", ""trend"": ""Increase""}, {""component"": ""Component_EV"", ""participantTotal"": ""3"", ""trend"": ""Stable""}, {""component"": ""Component_both"", ""participantTotal"": ""1"", ""trend"": ""Decrease""}, {""component"": ""Component_both"", ""participantTotal"": ""1"", ""trend"": ""Increase""}, {""component"": ""Component_both"", ""participantTotal"": ""3"", ""trend"": ""Stable""}, {""component"": ""Component_non_EV"", ""participantTotal"": ""1"", ""trend"": ""Decrease""}, {""component"": ""Component_non_EV"", ""participantTotal"": ""1"", ""trend"": ""Increase""}, {""component"": ""Component_non_EV"", ""participantTotal"": ""3"", ""trend"": ""S...","Answer: The query returned 9 row(s). First results: component: Component_EV, trend: Decrease, participant total: 1; component: Component_EV, trend: Increase, participant total: 1; component: Component_EV, trend: Stable, participant total: 3; component: Component_both, trend: Decrease, participant total: 1; component: Component_both, trend: Increase, participant total: 1; component: Component_both, trend: Stable, participant total: 3; component: Component_non_EV, trend: Decrease, participant total: 1; component: Component_non_EV, trend: Increase, participant total: 1.",,SELECT ?component ?trend (SUM(?participants) AS ?participantTotal) WHERE { ?entry a survey:InventoryDevelopment_Tier1 ; survey:forComponent ?component ; survey:inventoryTrend ?trend ; survey:participantCount ?participants . } GROUP BY ?component ?trend ORDER BY ?component ?trend,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,hard,none,
FULLKGQA0014,What is Abstract?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Any Entity that cannot be located in space-time.

Example: mathematical entities: formal semantics elements, regions within dimensional spaces, etc."" In the Digital Reference ontology, it is a subclass of Entity.",,,correct,Deterministic DR ontology lookup returned a definition-style answer.,,,deterministic_definition_rule,,none,none
FULLKGQA0015,What should I look at first to understand current demand risk by region?,advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). I selected this advice because the deterministic advisory route computed total current demand for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was designed to identify the region with the highest current-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0016,What is the total volume of order cancellations recorded for each semiconductor technology category?,order_cancellation,,direct_graph_supported,auto_answer,capability_inventory,0,1,5,,"[{""participantCount"": ""3"", ""technologyCategory"": ""OrderCancellationChange_Semi_10nm_to_lt28nm""}, {""participantCount"": ""3"", ""technologyCategory"": ""OrderCancellationChange_Semi_180nm_or_greater""}, {""participantCount"": ""3"", ""technologyCategory"": ""OrderCancellationChange_Semi_28nm_to_lt45nm""}, {""participantCount"": ""3"", ""technologyCategory"": ""OrderCancellationChange_Semi_55nm_to_180nm""}, {""participantCount"": ""3"", ""technologyCategory"": ""OrderCancellationChange_Semi_lt%3D_7nm""}]","Answer: The query returned 5 row(s). Results: technology category: OrderCancellationChange_Semi_10nm_to_lt28nm, participant count: 3; technology category: OrderCancellationChange_Semi_180nm_or_greater, participant count: 3; technology category: OrderCancellationChange_Semi_28nm_to_lt45nm, participant count: 3; technology category: OrderCancellationChange_Semi_55nm_to_180nm, participant count: 3; technology category: OrderCancellationChange_Semi_lt%3D_7nm, participant count: 3.",,"SELECT ?technologyCategory (SUM(?participants) AS ?participantCount) WHERE { ?entry a survey:OrderCancellation ; survey:forTechnologyCategory ?technology ; survey:participantCount ?participants . BIND(REPLACE(STR(?technology), ""^.*/"", """") AS ?technologyCategory) } GROUP BY ?technologyCategory ORDER BY ?technologyCategory",correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium,none,
FULLKGQA0017,Define Finished Product.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"End result of the manufacturing process In the Digital Reference ontology, it is a subclass of Product.",,,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy_non_sparql_definition,none,
FULLKGQA0018,Which region shows the strongest future demand signal?,advisory_future_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""avgPercentageChange"": ""2386112.016666666666666666666667"", ""regionName"": ""Asia Pacific/China""}, {""avgPercentageChange"": ""1993696.795238095238095238095238"", ""regionName"": ""Americas""}, {""avgPercentageChange"": ""1491199.795238095238095238095238"", ""regionName"": ""Europe""}, {""avgPercentageChange"": ""1092445.9"", ""regionName"": ""Asia Pacific/All Other""}, {""avgPercentageChange"": ""369089.207142857142857142857143"", ""regionName"": ""Japan""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (average future-demand percentage change: 2386112.016666666666666666666667). I selected this advice because the deterministic advisory route computed average future-demand percentage change for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 2386112.016666666666666666666667; Americas: 1993696.795238095238095238095238; Europe: 1491199.795238095238095238095238. The deterministic advisory template used here was designed to identify the region with the strongest future-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemandPercentageChange ?pct . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?avgPercentageChange),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0019,Could you tell me the mean OEM demand figure for the Americas region?,regional_demand,,llm_ranking,llm_ranking,validated_retrieval,0,10,1,,"[{""avgDemand"": ""67744458.0"", ""regionName"": ""Americas""}]","Answer: Regional demand returned 1 grouped row(s). Groups: region name: Americas, avg demand: 67744458.0.",kept_selected_nonempty,"SELECT ?regionName (AVG(?units) AS ?avgDemand) WHERE { ?d a survey:DemandForRegion ; survey:hasSurveyOrigin ?o ; survey:inRegion ?r ; survey:totalDemand ?units . ?o a survey:OEM_Survey . ?r survey:regionName ?regionName . FILTER(?regionName = ""Americas"") } GROUP BY ?regionName",correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy,none,
FULLKGQA0020,Define Asset.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Every I4.0-component has to represent an entity. The entity can be physical or digital asset. The definition makes it possible to classify assets without integrated and accessible computers as I4.0-component, if the digital representation of the asset is accessible on a separate computer. In the Digital Reference ontology, it is a subclass of System Lobe.",,,correct,Deterministic DR ontology lookup returned a definition-style answer.,,,deterministic_definition_rule,,none,none
FULLKGQA0021,"Based on future demand, where should planning attention focus?",advisory_future_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""avgPercentageChange"": ""2386112.016666666666666666666667"", ""regionName"": ""Asia Pacific/China""}, {""avgPercentageChange"": ""1993696.795238095238095238095238"", ""regionName"": ""Americas""}, {""avgPercentageChange"": ""1491199.795238095238095238095238"", ""regionName"": ""Europe""}, {""avgPercentageChange"": ""1092445.9"", ""regionName"": ""Asia Pacific/All Other""}, {""avgPercentageChange"": ""369089.207142857142857142857143"", ""regionName"": ""Japan""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (average future-demand percentage change: 2386112.016666666666666666666667). I selected this advice because the deterministic advisory route computed average future-demand percentage change for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 2386112.016666666666666666666667; Americas: 1993696.795238095238095238095238; Europe: 1491199.795238095238095238095238. The deterministic advisory template used here was designed to identify the region with the strongest future-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemandPercentageChange ?pct . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?avgPercentageChange),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0022,How does the number of OEM companies experiencing shortages compare to those without shortages?,shortage,,direct_graph_supported,auto_answer,capability_inventory,0,1,1,,"[{""companyCount"": ""1""}]",Answer: The result is 1.,,"SELECT (COUNT(?company) AS ?companyCount) WHERE { BIND(""OEM"" AS ?surveyGroup) ?company a survey:Company ; survey:hasSurveyOrigin ?origin ; survey:reportsShortage ?shortage . FILTER(?origin = survey:OEM_Survey_Instance) FILTER(?shortage = false) }",incorrect,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy,incomplete_comparison,incomplete_comparison
FULLKGQA0023,What is Battery Control Unit?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Battery_Control_Unit - is a specialized subclass of Functional_Block, forming a crucial component in systems that manage and control battery performance for sustainable applications. It is an embedded system component responsible for ensuring the safe, efficient, and optimized operation of battery systems, particularly in semiconductor-driven applications. In the Digital Reference ontology, it is a subclass of Functional Block.",,,correct,Deterministic DR ontology lookup returned a definition-style answer.,,,deterministic_definition_rule,,none,none
FULLKGQA0024,Which region should be monitored for future demand risk?,advisory_future_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""avgPercentageChange"": ""2386112.016666666666666666666667"", ""regionName"": ""Asia Pacific/China""}, {""avgPercentageChange"": ""1993696.795238095238095238095238"", ""regionName"": ""Americas""}, {""avgPercentageChange"": ""1491199.795238095238095238095238"", ""regionName"": ""Europe""}, {""avgPercentageChange"": ""1092445.9"", ""regionName"": ""Asia Pacific/All Other""}, {""avgPercentageChange"": ""369089.207142857142857142857143"", ""regionName"": ""Japan""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (average future-demand percentage change: 2386112.016666666666666666666667). I selected this advice because the deterministic advisory route computed average future-demand percentage change for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 2386112.016666666666666666666667; Americas: 1993696.795238095238095238095238; Europe: 1491199.795238095238095238095238. The deterministic advisory template used here was designed to identify the region with the strongest future-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemandPercentageChange ?pct . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?avgPercentageChange),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0025,How many vehicles were sold in total in each month according to actual sales figures?,vehicle_sales,,llm_ranking,llm_ranking,validated_retrieval,0,5,12,,"[{""monthLabel"": ""time_Apr_2023"", ""unitsSold"": ""6425650""}, {""monthLabel"": ""time_Aug_2023"", ""unitsSold"": ""7057393""}, {""monthLabel"": ""time_Dec_2023"", ""unitsSold"": ""8093262""}, {""monthLabel"": ""time_Feb_2023"", ""unitsSold"": ""6176907""}, {""monthLabel"": ""time_Jan_2023"", ""unitsSold"": ""5727449""}, {""monthLabel"": ""time_Jul_2023"", ""unitsSold"": ""7066342""}, {""monthLabel"": ""time_Jun_2023"", ""unitsSold"": ""7678947""}, {""monthLabel"": ""time_Mar_2023"", ""unitsSold"": ""7847474""}, {""monthLabel"": ""time_May_2023"", ""unitsSold"": ""7164150""}, {""monthLabel"": ""time_Nov_2023"", ""unitsSold"": ""7699941""}, {""monthLabel"": ""time_Oct_2023"", ""unitsSold"": ""7459190""}, {""monthLabel"": ""time_Sep_2023"", ""unitsSold"": ""7728774""}]","Answer: Vehicle-sales results returned 12 grouped row(s). Groups: month label: time Apr 2023, units sold: 6425650; month label: time Aug 2023, units sold: 7057393; month label: time Dec 2023, units sold: 8093262; month label: time Feb 2023, units sold: 6176907; month label: time Jan 2023, units sold: 5727449; month label: time Jul 2023, units sold: 7066342; month label: time Jun 2023, units sold: 7678947; month label: time Mar 2023, units sold: 7847474; month label: time May 2023, units sold: 7164150; month label: time Nov 2023, units sold: 7699941; month label: time Oct 2023, units sold: 7459190; month label: time Sep 2023, units sold: 7728774.",selected_best_executable_candidate,"SELECT ?monthLabel (SUM(?units) AS ?unitsSold) WHERE { ?obs a survey:VehicleSalesObservation ; survey:forTimePeriod ?month ; survey:isActualData true ; survey:unitsSold ?units . BIND(REPLACE(STR(?month), '^.*/', '') AS ?monthLabel) } GROUP BY ?monthLabel ORDER BY ?monthLabel",correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium,none,
FULLKGQA0026,What is Business Process?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,A Business Process (BP) consists of a series of value-creating activities that reach the performance expected by customers and fulfill goals derived from the business strategy.,,,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy_non_sparql_definition,none,
FULLKGQA0027,What should I review first to understand future demand risk by region?,advisory_future_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""avgPercentageChange"": ""2386112.016666666666666666666667"", ""regionName"": ""Asia Pacific/China""}, {""avgPercentageChange"": ""1993696.795238095238095238095238"", ""regionName"": ""Americas""}, {""avgPercentageChange"": ""1491199.795238095238095238095238"", ""regionName"": ""Europe""}, {""avgPercentageChange"": ""1092445.9"", ""regionName"": ""Asia Pacific/All Other""}, {""avgPercentageChange"": ""369089.207142857142857142857143"", ""regionName"": ""Japan""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (average future-demand percentage change: 2386112.016666666666666666666667). I selected this advice because the deterministic advisory route computed average future-demand percentage change for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 2386112.016666666666666666666667; Americas: 1993696.795238095238095238095238; Europe: 1491199.795238095238095238095238. The deterministic advisory template used here was designed to identify the region with the strongest future-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemandPercentageChange ?pct . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?avgPercentageChange),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
